userId,cropId,rating,timestamp
1,1,2.5,1260759144
1,2,3,1260759179
1,3,3,1260759182
1,5,2,1260759185
1,6,4,1260759205
1,7,2,1260759151
1,8,2,1260759187
1,9,2,1260759148
1,10,3.5,1260759125
1,11,2,1260759131
1,12,2.5,1260759135
1,13,1,1260759203
1,14,4,1260759191
1,15,4,1260759139
1,17,3,1260759194
1,18,2,1260759198
1,19,2,1260759108
1,20,2.5,1260759113
1,21,1,1260759200
1,23,3,1260759117
1,24,4,835355493
1,25,5,835355681
1,26,5,835355604
1,27,4,835355552
1,28,4,835355586
1,29,3,835356031
1,31,3,835355749
1,32,4,835355532
1,33,3,835356016
1,34,5,835355395
1,35,4,835355441
1,36,3,835355493
1,39,3,835355441
1,41,3,835355710
1,42,3,835355511
1,43,3,835355664
1,44,3,835355511
1,45,5,835355840
1,46,1,835355749
1,47,3,835355552
1,49,3,835355664
1,50,3,835355896
1,51,4,835355511
1,52,4,835355681
1,53,5,835355697
1,54,5,835355586
1,55,3,835355767
1,56,4,835355779
1,57,3,835355492
1,58,4,835355395
1,59,3,835355532
1,60,4,835356044
1,61,2,835355551
1,62,1,835355918
1,63,3,835355492
1,64,4,835355441
1,65,4,835355697
1,66,3,835355628
1,67,3,835355749
1,69,3,835355604
1,70,3,835355619
1,71,2,835355932
1,72,3,835355968
1,73,3,835356094
1,75,3,835355710
1,77,3,835356165
1,78,2,835356246
1,79,3,835355532
1,80,4,835355604
1,82,3,835355511
1,83,4,835355790
1,84,2,835355828
1,85,4,835355643
1,86,3,835355918
1,87,3,835355880
1,89,4,835355731
1,90,4,835355860
1,91,4,835355719
1,92,4,835355817
1,93,4,835355731
1,94,4,835356199
1,95,3,835355767
1,98,3,835356109
1,99,5,835355767
1,100,3,835355860
1,101,5,835355817
1,102,3,835355790
1,103,3,835355779
1,104,3,835355441
1,105,5,835355697
1,106,5,835355395
1,107,5,835355395
1,108,3,835355511
1,109,3,835355932
1,111,4,835356141
1,112,4,835355978
1,113,3,1298861675
1,114,4,1298922049
1,115,3.5,1298861637
2,2,3,1298861761
2,3,4.5,1298862418
2,5,5,1298862121
2,6,2.5,1298861589
2,8,5,1298862167
2,10,2.5,1298923242
2,14,3,1298862528
2,16,3,1298922100
2,17,3,1298923247
2,20,3,1298921840
2,21,2,1298923260
2,25,3.5,1298932787
2,26,4,1298863157
2,28,3,1298861687
2,29,5,1298932770
2,30,3,1298921795
2,31,4,1298861628
2,32,3,1298861605
2,34,4,1298861658
2,35,3.5,1298922089
2,36,4.5,1298923236
2,38,4,1298863143
2,40,4,1298921862
2,41,4,1298861753
2,43,3,1298861789
2,44,3,1298862710
2,49,3.5,1298861796
2,50,3,1298924017
2,52,3.5,1298922057
2,55,4,1298861733
2,56,4,1298921825
2,59,5,1298862874
2,61,3,1298861968
2,63,4,1298861633
2,64,5,1298863174
2,65,3,1298923266
2,66,3.5,1298862672
2,68,3,1298922080
2,69,2.5,1298921787
2,71,3,1298922065
2,74,3.5,1298861650
2,75,3,1298932766
2,78,3.5,1298862555
2,79,3.5,1298932740
2,81,4.5,1298862361
2,82,4.5,1298862467
2,83,3,1298922071
2,86,4,1298922130
2,91,4,949810645
2,92,5,949919556
2,96,5,949810582
2,98,5,949919681
2,102,4,949811346
2,103,3,949811346
2,104,3,949920047
2,106,5,949779042
2,107,4,949778802
2,109,5,949895708
2,110,3,949810618
2,111,5,949810582
2,115,5,949919763
3,1,5,949919681
3,2,5,949949538
3,3,4,949895887
3,4,3,949810534
3,5,3,949919883
3,7,3,949895772
3,9,4,949810688
3,11,1,949920135
3,13,4,949919802
3,14,4,949920028
3,16,4,949811315
3,18,5,949810582
3,22,5,949779091
3,23,5,949949486
3,24,5,949919938
3,28,3,949810534
3,30,5,949949538
3,33,5,949949638
3,34,4,949982238
3,36,5,949949444
3,40,5,949779022
3,41,5,949919189
3,46,4,949919306
3,47,5,949919247
3,50,5,949949396
3,53,4,949919454
3,56,4,949919322
3,60,5,949949638
3,61,5,949949638
3,62,5,949896377
3,63,5,949896377
3,64,5,949949538
3,67,5,949949638
3,70,5,949896244
3,71,5,949919372
3,75,5,949811523
3,76,5,949895732
3,79,5,949778771
3,80,5,949919399
3,81,5,949896275
3,82,5,949919372
3,83,5,949919419
3,84,5,949779173
3,85,5,949811490
3,87,5,949779173
3,89,5,949896244
3,90,5,949896159
3,95,5,949779173
3,96,5,949778714
3,98,5,949895708
3,99,5,949810261
3,100,5,949779173
3,101,5,949811523
3,105,5,949918693
3,106,5,949779173
3,108,5,949919372
3,109,5,949896244
3,112,5,949919519
4,2,5,949811602
4,3,5,949918743
4,5,4,949811559
4,7,5,949919591
4,8,5,949811523
4,9,5,949919372
4,12,5,949949396
4,15,4,949811559
4,16,5,949811490
4,17,5,949918743
4,18,4,949918927
4,20,4,949811602
4,22,4,949896275
4,25,5,949982274
4,26,5,949919247
4,27,4,949810582
4,28,4,949810302
4,29,3,949920004
4,30,4,949918787
4,31,3,949918904
4,34,3,949810688
4,35,5,949896377
4,37,5,949810261
4,38,4,949810302
4,39,5,949895772
4,40,3,949811230
4,41,5,949919978
4,42,4,949811559
4,44,5,949896244
4,45,1,949895864
4,46,5,949919738
4,48,4,949810688
4,49,2,949895956
4,50,5,949810261
4,51,5,949810261
4,52,5,949918743
4,53,3,949949538
4,54,5,949811559
4,55,5,949896309
4,56,5,949811602
4,57,3,949895907
4,59,2,949918970
4,60,5,949896070
4,61,4,949919454
4,62,5,949778771
4,63,4,949811738
4,64,4,949896114
4,66,4,949982239
4,67,4,949896183
4,68,5,949810618
4,69,3,949896114
4,70,5,949918648
4,72,5,949949444
4,73,5,949919306
4,76,4,949982239
4,77,5,949949444
4,78,5,949896114
4,79,5,949949638
4,80,5,949896183
4,81,4,949920028
4,82,5,949949538
4,83,5,949896114
4,85,5,949949396
4,86,4,949896114
4,87,5,949919399
4,88,3,949896309
4,89,5,949918927
4,91,5,949918994
4,92,4,949919763
4,94,5,949896070
4,95,4,949982239
4,99,4,949896114
4,102,5,949811603
4,104,5,949896070
4,105,5,949896070
4,106,3,949896070
4,107,5,949918764
4,108,4,949811559
4,110,3,949896309
4,111,5,949895772
4,112,5,949919556
4,113,4,949918927
4,115,4,949811603
5,2,4,949918994
5,8,5,949918994
5,13,4,949810302
5,16,5,949982274
5,18,5,949918875
5,19,4,949896275
5,21,1,949895993
5,23,5,949810582
5,26,5,949810261
5,27,3,949918671
5,28,4,949896497
5,42,4,949896497
5,43,5,949811523
5,49,5,949810582
5,51,4,949778714
5,55,1,949896521
5,66,5,949919399
5,69,5,949811490
5,70,4,949811603
5,74,5,949896070
5,75,5,949811738
5,90,3,949811230
5,94,3,949918875
5,96,5,949896114
5,98,5,949896377
